Group,Taxa,Level,IBMWP_score,dispersal
Aracnidos,Acariformes,superorder,4,
Coleoptera,Chrysomelidae,family,4,
Coleoptera,Curculionidae,family,4,
Coleoptera,Dryopidae,family,5,
Coleoptera,Dytiscidae,family,3,
Coleoptera,Elmidae,family,5,
Coleoptera,Gyrinidae,family,3,
Coleoptera,Haliplidae,family,4,
Coleoptera,Helophoridae,family,5,
Coleoptera,Hydraenidae,family,5,
Coleoptera,Hydrochidae,family,5,
Coleoptera,Hydrophilidae,family,3,
Coleoptera,Hygrobiidae,family,3,
Coleoptera,Noteridae,family,3,
Coleoptera,Psephenidae,family,3,
Coleoptera,Scirtidae(=Helodidae),family,3,
Crustaceans,Asellidae,family,3,
Crustaceans,Astacidae,family,8,
Crustaceans,Atyidae,family,6,
Crustaceans,Corophiidae,family,6,
Crustaceans,Gammaridae,family,6,
Crustaceans,Ostracoda,family,3,
Crustaceans,Palaemonidae,family,6,
Diptera,Anthomyiidae,family,4,
Diptera,Athericidae,family,10,
Diptera,Blephariceridae,family,10,
Diptera,Ceratopogonidae,family,4,
Diptera,Chironomidae,family,2,
Diptera,Culicidae,family,2,
Diptera,Dixidae,family,4,
Diptera,Dolichopodidae,family,4,
Diptera,Empididae,family,4,
Diptera,Ephydridae,family,2,
Diptera,Limoniidae,family,4,
Diptera,Psychodidae,family,4,
Diptera,Ptychopteridae,family,4,
Diptera,Rhagionidae,family,4,
Diptera,Scatophagidae,family,4,
Diptera,Sciomyzidae,family,4,
Diptera,Simuliidae,family,5,
Diptera,Stratiomyidae,family,4,
Diptera,Syrphidae,family,1,
Diptera,Tabanidae,family,4,
Diptera,Thaumaleidae,family,2,
Diptera,Tipulidae,family,5,
Ephemeroptera,Baetidae,family,4,
Ephemeroptera,Caenidae,family,4,
Ephemeroptera,Ephemerellidae,family,7,
Ephemeroptera,Ephemeridae,family,10,
Ephemeroptera,Heptageniidae,family,10,
Ephemeroptera,Leptophlebiidae,family,10,
Ephemeroptera,Oligoneuriidae,family,5,
Ephemeroptera,Polymitarcidae,family,5,
Ephemeroptera,Potamanthidae,family,10,
Ephemeroptera,Prosopistomatidae,family,7,
Ephemeroptera,Siphlonuridae,family,10,
Heteroptera,Aphelocheiridae,family,10,
Heteroptera,Corixidae,family,3,
Heteroptera,Gerridae,family,3,
Heteroptera,Hydrometridae,family,3,
Heteroptera,Mesoveliidae,family,3,
Heteroptera,Naucoridae,family,3,
Heteroptera,Nepidae,family,3,
Heteroptera,Notonectidae,family,3,
Heteroptera,Pleidae,family,3,
Heteroptera,Veliidae,family,3,
Hirudinea,Erpobdellidae,family,3,
Hirudinea,Glossiphoniidae,family,3,
Hirudinea,Hirudidae(=Hirudinidae),family,3,
Hirudinea,Piscicolidae,family,4,
Neuroptera,Sialidae,family,4,
Lepidoptera,Crambidae(=Pyralidae),family,4,
Mollusca,Ancylidae,family,6,
Mollusca,Bithyniidae,family,3,
Mollusca,Ferrissia,genus,6,
Mollusca,Hydrobiidae,family,3,
Mollusca,Lymnaeidae,family,3,
Mollusca,Neritidae,family,6,
Mollusca,Physidae,family,3,
Mollusca,Planorbidae,family,3,
Mollusca,Sphaeriidae,family,3,
Mollusca,Thiaridae,family,6,
Mollusca,Unionidae,family,6,
Mollusca,Valvatidae,family,3,
Mollusca,Viviparidae,family,6,
Odonata,Aeshnidae,family,8,
Odonata,Calopterygidae,family,8,
Odonata,Coenagrionidae,family,6,
Odonata,Cordulegasteridae,family,8,
Odonata,Corduliidae,family,8,
Odonata,Gomphidae,family,8,
Odonata,Lestidae,family,8,
Odonata,Libellulidae,family,8,
Odonata,Platycnemididae,family,6,
Oligocheta,Oligocheta,order,1,
Plecoptera,Capniidae,family,10,
Plecoptera,Chloroperlidae,family,10,
Plecoptera,Leuctridae,family,10,
Plecoptera,Nemouridae,family,7,
Plecoptera,Perlidae,family,10,
Plecoptera,Perlodidae,family,10,
Plecoptera,Taeniopterygidae,family,10,
Tricoptera,Beraeidae,family,10,
Tricoptera,Brachycentridae,family,10,
Tricoptera,Calamoceratidae,family,10,
Tricoptera,Ecnomidae,family,7,
Tricoptera,Glossosomatidae,family,8,
Tricoptera,Goeridae,family,10,
Tricoptera,Hydropsychidae,family,5,
Tricoptera,Hydroptilidae,family,6,
Tricoptera,Lepidostomatidae,family,10,
Tricoptera,Leptoceridae,family,10,
Tricoptera,Limnephilidae,family,7,
Tricoptera,Molannidae,family,10,
Tricoptera,Odontoceridae,family,10,
Tricoptera,Philopotamidae,family,8,
Tricoptera,Phryganeidae,family,10,
Tricoptera,Polycentropodidae,family,7,
Tricoptera,Psychomyiidae,family,8,
Tricoptera,Rhyacophilidae,family,7,
Tricoptera,Sericostomatidae,family,10,
Tricoptera,Uenoidae,family,10,
Turbellaria,Dendrocoelidae,family,5,
Turbellaria,Dugesiidae,family,5,
Turbellaria,Planariidae,family,5,
