Family;dispersal_strategy;IBMWP_score
Acariformes;NA;4
Aeshnidae;dis4;8
Ancylidae;dis1;6
Anthomyiidae;dis2;4
Aphelocheiridae;dis1;10
Aphelocheiridae;dis2;10
Asellidae;dis1;3
Astacidae;dis2;8
Athericidae;dis2;10
Athericidae;dis4;10
Atyidae;dis1;6
Atyidae;dis2;6
Baetidae;dis1;4
Baetidae;dis2;4
Baetidae;dis4;4
Beraeidae;dis2;10
Beraeidae;dis4;10
Bithyniidae;dis1;3
Blephariceridae;dis1;10
Brachycentridae;dis4;10
Caenidae;dis1;4
Calamoceratidae;dis4;10
Calopterygidae;dis1;8
Calopterygidae;dis4;8
Capniidae;dis1;10
Capniidae;dis2;10
Ceratopogonidae;dis4;4
Chironomidae;dis1;2
Chloroperlidae;dis1;10
Chloroperlidae;dis2;10
Chrysomelidae;dis4;4
Coenagrionidae;dis4;6
Cordulegasteridae;dis1;8
Cordulegasteridae;dis4;8
Corduliidae;dis4;8
Corixidae;dis2;3
Corixidae;dis4;3
Corophiidae;dis1;6
Corophiidae;dis2;6
Crambidae(=Pyralidae);dis4;4
Culicidae;dis4;2
Curculionidae;NA;4
Dendrocoelidae;dis2;5
Dixidae;dis1;4
Dolichopodidae;dis4;4
Dryopidae;dis4;5
Dugesiidae;dis2;5
Dytiscidae;dis4;3
Ecnomidae;dis1;7
Ecnomidae;dis2;7
Ecnomidae;dis4;7
Elmidae;dis1;5
Elmidae;dis4;5
Empididae;dis4;4
Ephemerellidae;dis1;7
Ephemerellidae;dis2;7
Ephemerellidae;dis4;7
Ephemeridae;dis4;10
Ephydridae;dis4;2
Erpobdellidae;dis1;3
Erpobdellidae;dis2;3
Ferrissia;dis1;6
Gammaridae;dis1;6
Gammaridae;dis2;6
Gerridae;dis2;3
Gerridae;dis4;3
Glossiphoniidae;dis1;3
Glossosomatidae;dis2;8
Goeridae;dis4;10
Gomphidae;dis1;8
Gyrinidae;dis2;3
Gyrinidae;dis4;3
Haliplidae;dis4;4
Helophoridae;dis4;5
Heptageniidae;dis1;10
Heptageniidae;dis4;10
Hirudidae(=Hirudinidae);dis1;3
Hydraenidae;dis1;5
Hydraenidae;dis4;5
Hydrobiidae;dis1;3
Hydrochidae;dis4;5
Hydrometridae;dis2;3
Hydrophilidae;dis4;3
Hydropsychidae;dis1;5
Hydropsychidae;dis4;5
Hydroptilidae;dis1;6
Hydroptilidae;dis2;6
Hydroptilidae;dis4;6
Hygrobiidae;dis4;3
Lepidostomatidae;dis1;10
Lepidostomatidae;dis2;10
Lepidostomatidae;dis4;10
Leptoceridae;dis4;10
Leptophlebiidae;dis1;10
Leptophlebiidae;dis4;10
Lestidae;dis4;8
Leuctridae;dis1;10
Leuctridae;dis2;10
Libellulidae;dis4;8
Limnephilidae;dis2;7
Limnephilidae;dis4;7
Limoniidae;dis1;4
Limoniidae;dis2;4
Limoniidae;dis4;4
Lymnaeidae;dis1;3
Mesoveliidae;dis2;3
Molannidae;dis4;10
Naucoridae;dis2;3
Naucoridae;dis4;3
Nemouridae;dis1;7
Nemouridae;dis2;7
Nemouridae;dis4;7
Nepidae;dis2;3
Nepidae;dis4;3
Neritidae;dis1;6
Noteridae;dis4;3
Notonectidae;dis2;3
Notonectidae;dis4;3
Odontoceridae;dis1;10
Odontoceridae;dis4;10
Oligocheta;NA;1
Oligoneuriidae;dis1;5
Oligoneuriidae;dis4;5
Ostracoda;NA;3
Palaemonidae;dis1;6
Palaemonidae;dis2;6
Perlidae;dis2;10
Perlodidae;dis2;10
Perlodidae;dis1;10
Philopotamidae;dis1;8
Philopotamidae;dis2;8
Philopotamidae;dis4;8
Phryganeidae;dis2;10
Phryganeidae;dis4;10
Physidae;dis1;3
Piscicolidae;dis1;4
Piscicolidae;dis2;4
Planariidae;dis2;5
Planorbidae;dis1;3
Platycnemididae;dis4;6
Pleidae;dis2;3
Pleidae;dis4;3
Polycentropodidae;dis1;7
Polycentropodidae;dis4;7
Polymitarcidae;dis2;5
Polymitarcidae;dis4;5
Potamanthidae;dis1;10
Potamanthidae;dis4;10
Prosopistomatidae;dis1;7
Prosopistomatidae;dis2;7
Prosopistomatidae;dis4;7
Psephenidae;dis1;3
Psephenidae;dis4;3
Psychodidae;dis1;4
Psychomyiidae;dis1;8
Psychomyiidae;dis2;8
Psychomyiidae;dis4;8
Ptychopteridae;dis1;4
Rhagionidae;NA;4
Rhyacophilidae;dis1;7
Rhyacophilidae;dis2;7
Rhyacophilidae;dis4;7
Scatophagidae;dis2;4
Sciomyzidae;dis2;4
Sciomyzidae;dis4;4
Scirtidae(=Helodidae);dis4;3
Sericostomatidae;dis1;10
Sialidae;dis2;4
Simuliidae;dis1;5
Simuliidae;dis2;5
Siphlonuridae;dis2;10
Siphlonuridae;dis4;10
Sphaeriidae;dis1;3
Stratiomyidae;dis4;4
Syrphidae;dis4;1
Tabanidae;dis4;4
Taeniopterygidae;dis1;10
Taeniopterygidae;dis2;10
Thaumaleidae;dis1;2
Thiaridae;dis1;6
Tipulidae;dis2;5
Tipulidae;dis4;5
Uenoidae;dis4;10
Unionidae;dis1;6
Valvatidae;dis1;3
Veliidae;dis2;3
Viviparidae;dis1;6
mean;;
median;;
